"기호","약자","English","설명","비고"
"_","-","-","구분자ꓼ 기호 뒤의 구분자는 생략한다ꓼ 소문자 뒤에 대문자가 올경우 구분자는 생략한다","-"
"Σ","tot","Total","합계","-"
"-","loc","Local","부분","-"
"-","ref","Reference","기준","-"
"-","ret","Retention","체류","-"
"-","ver","Vecter","벡터","-"
"-","TC","TMM-Conduit","관찰자의 관찰 수단ꓹ  방법ꓹ  도구 따위","Toolꓹ  Meansꓹ  Method "
"n","-","-","앞에 제시된 특정 값의 흐름에 따라 변화되는 값을 뜻한다ꓹ  제시된 예가 없으면 자연수 1로 시작하여 자연수로 단조 증가되는 값을 뜻한다","-"
"t","-","-","특정 위상(때ꓹ  위치 따위를 포함함)","-"
"obs","-","-","관찰","-"
"Non-obs","-","-","비관찰","-"
"obg","-","Observing Object","관찰_객체","-"
"obd","-","Observed Object","피관찰_객체","-"
"ΔSA","-","-","내향_표면적과 외향_면적의 차이","-"
"+∇","-","-","값이 높은 곳으로 향한다(수렴)","-"
"-∇","-","-","값이 낮은 곳으로 향한다(분산)","-"
"ꟿ","-","-","영속 겹치지 않고 변하는 유일한 값을 뜻한다","-"
"⭳","-","Inward","내향","-"
"⭱","-","Outward","외향","-"
"⤈","-","Inflow","유입","-"
"⤉","-","Outflow","유출","-"
"∧","-","and","그리고","-"
"∨","-","or","또는","-"
"⯅","-","-","증가","-"
"⯆","-","-","감소","-"
"∝","-","-","비례","-"
"⟸","-","-","′A ⟸ B′ꓹ  A가 B로 인하여 유도(도출)된다","-"
"⟹","-","-","′A ⟹ B′ꓹ  A로 인하여 B가 유도(도출)된다","-"
"⇄","-","-","′선행(Antecedent) ⇄ 후행(Subsequent)′ꓹ  선행_A(Antecedent_A)가 후행_A(Subsequent_A)가 되고(일으키고)ꓹ  후행_A(Subsequent_A)가(선행_B(Antecedent_B)로서) 후행_B(Subsequent_B)가 되는(일으키는) 것과 같은 비가역 순환을 뜻한다","-"
"=","-","-","′A = B′ꓹ  A와 B는 값이 같다ꓼ 현상이 같다","-"
"≠","-","-","′A ≠ B′ꓹ  A와 B는 값이 같지 않다","-"
"≡","-","-","′A ≡ B′ꓹ  A와 B는 하나의 실태에 의한다(실태가 같다)","-"
"≢","-","-","′A ≢ B′ꓹ  A와 B는 다른의 실태에 의한다(실태가 같지 않다)","-"
"≣","-","-","′A ≣ B′ꓹ  A와 B는 값과 실태가 같다","-"
"⩨",,,"′A ⩨ B′ꓹ  A와 B는 실태가 같지만ꓹ  값은 같지 않다","-"
">","-","-","′A > B′ꓹ  A가 B보다 값이 크다","-"
"<","-","-","′A < B′ꓹ  A가 B보다 값이 작다","-"
"⪜","-","-","′A ⪜ B′ꓹ  A와 B는 실태가 같지만ꓹ  A가 B보다 값이 크다","-"
"⪛","-","-","′A ⪛ B′ꓹ  A와 B는 실태가 같지만ꓹ  A가 B보다 값이 작다 ","-"
"⊃","-","-","′A ⊃ B′ꓹ  A가 B 전체를 포함한다","-"
"⊂","-","-","′A ⊂ B′ꓹ  A 전체가 B에 포함된다","-"
"⊇","-","-","′A ⊇ B′ꓹ  A가 B 전체를 포함하거나ꓹ  A와 B의 값이 같다","-"
"⊆","-","-","′A ⊆ B′ꓹ  A 전체가 B에 포함되거나ꓹ  A와 B의 값이 같다","-"
"⫈","-","-","′A ⫈ B′ꓹ  A가 B 전체를 포함하거나ꓹ  A와 B의 값이 유사하다","-"
"⫇","-","-","′A ⫇ B′ꓹ  A 전체가 B에 포함되거나ꓹ  A와 B의 값이 유사하다","-"
"⊋","-","-","′A ⊋ B′ꓹ  A가 B 전체를 포함하지만ꓹ  A와 B는 값이 같지 않다","-"
"⊊","-","-","′A ⊊ B′ꓹ  A 전체가 B에 포함된지만ꓹ  A와 B는 값이 같지 않다","-"
"⫆","-","-","′A ⫆ B′ꓹ  A가 B 전체를 포함하거나ꓹ  A와 B는 실태가 같다","-"
"⫅","-","-","′A ⫅ B′ꓹ  A 전체가 B에 포함되거나ꓹ  A와 B는 실태가 같다","-"
"⫊","-","-","′A ⫊ B′ꓹ  A가 B 전체를 포함하거나ꓹ  A와 B는 실태가 유사하다","-"
"⫉","-","-","′A ⫉ B′ꓹ  A 전체가 B에 포함되거나ꓹ  A와 B는 실태가 유사하다","-"
"⫌","-","-","′A ⫌ B′ꓹ  A가 B 전체를 포함하지만ꓹ  A와 B는 실태가 같지 않다","-"
"⫋","-","-","′A ⫋ B′ꓹ  A 전체가 B에 포함되지만ꓹ  A와 B는 실태가 같지 않다","-"
"{}","-","-","동일하지 않은ꓹ  각각이 유일한 원소로 된 집합","-"
"{[(_)]}","-","-","괄호 위계","-"
