"01. 존재론 및 시원 공리계 (Ontological Axioms)",,,,,,
"Param_ID","Name","Name_en","Symbol","Description","Formula_Def","Parent_ID"
"AX_01","실재","Reality","∃ ≡ Shift ( 🡢 )  ","이행(Shift)(작용(Action))이 실재(Reality)고ꓹ 이행(Shift)(작용(Action))이 없는 것은 말 그대로 없다(비실재(Non-reality)다)ꓼ  ′무(Nothingness) + 이행(Shift)(🡢)′에서 ′무(Nothingness)′는 실재성이 없으므로  당연히(Naturally) 실재(Reality)하는 이행(Shift)(🡢)만 축적(Accumulative)되며ꓹ 이 축적(Accumulative)[전방위(Omnidirectionality) 압력_수렴(Pressure Convergent)(+∇P)]에 의해 밀도(Density)(ρ)가 형성(Formation)된다ꓹ 그리고 밀도_낙차(Density Gradient)(-∇ρ)에 따라 운동(Motion)(이행(Shift))하게 된다ꓹ 또 이행(Shift)에는 간극(Delta)이 있고 그 간극(Delta)은 ′0′ 보다 크므로 이행(Shift)에는 밀도_분산(Density Dispersion)이 결부된다ꓹ 밀도_낙차(Density Gradient)(-∇ρ)에 따른 운동(Motion) 또한 압력_수렴(Pressure Convergent)에 의하므로(방향성(Directionality)이 더 강한 쪽으로 운동(Motion)하므로)ꓹ 압력_수렴(Pressure Convergent)은 밀도_낙차(Density Gradient)(-∇ρ)에 따른 운동(Motion)을 포함한다","[ ∃ ≡ Shift ( 🡢 ) ≡ δ ] ∧ [ ( δ = 0 ) ≡ ∄ ] ⟹ [ ∃ ≡ ( δ > 0 ) ]","-"
"AX_01-01","differntial","differntial","dt","′AX_01′의 이해를 돕기위해ꓹ 기성 이론의 ′dt′를 인용","Shift ( 🡢 ) ≡ δ ⊋ dt ∧ [ ( dt = 0 ) ≡ ∄ ] ⟹ [ ∃ ≡ ( dt > 0 ) ]","AX_01"
"AX_02","내외향_비대칭","Inward-Outward Asymmetry","⦕ꓼ IOA","구가 커질수록 그 구의 표면적(Surface Area) 이 넓어지므로ꓹ 구조적으로 당연히 변곡 전의 반경(내향_표면적(Inward Surface Area)(SA_inward))이 변곡 후의 반경(외향_면적(Outward Area)(A_outward)) 보다 크다(변곡 ⟹ 밀도_증가(Density Increase))ꓹ 그리고 모든 실재(Reality)의 부피(Volume)는 ′0′보다 크므로 모든 실재(Reality)는 당연히 내외향_비대칭(Inward-Outward Asymmetry)하며 이에 따른 사항은 모두 완전한_대칭(Absolute Symmetry)을 이룰 수 없다","IOA ≡ SA⭱ [ 4 * π * r_SA_out² ] – A⭳ [ 4 * π * r_A_in² ] ≡ ΔSA","-"
"AX_03","완전 정지의 실재 불가(연속성)","Non-reality of Absolute Stasis(Continuity)","∃ = (δ > 0)","완전한_정지(Absolute Stasis)는 유지(Maintenance)가 부재(Absence)(작용(Action)이 부재(Absence))하여 비실재(Non-reality)을 의미한다ꓹ 그러므로 세상(Universe)의 모든 실재(Reality)의 간극(Delta)은 ′0′보다 크고ꓹ 완전한_정지(Absolute Stasis)는 실재_불가(Non-reality)하다ꓹ ","∃ ≡ ( δ > 0 )","AX_01"
"AX_04","완전 무의 실재 불가","Non-reality of Absolute Nothingness","δꓹ ρꓹ Pꓹ V > 0","dt′가 ′0′이 아니라면 ′dt′를 포함하는 간극(Delta) 또한 ′0′일 수 없고ꓹ 압력(Pressure)ꓹ 부피(Volume)ꓹ 밀도(Density)도 ′0′일 수 없다ꓹ 이에 완전한_정지(Absolute Stasis)의 실재_불가(Non-reality)에 따라 완전한_무(Absolute Nothingness)도 실재_불가(Non-reality)하다","[ 0 < δ ≡ P ≡ ( V * ρ ) ≡ m ] ⟹ [ δꓹ ρꓹ Pꓹ V > 0 ]","AX_01ꓹ ID_08"
"AX_05","비가역 이행","-","ΣP_U ( n )","실재(Reality)하는 압력(Pressure)의 총합은 영속(Perpetuity) 증가(Increase)한다","[ ∃ = ( δ > 0 ) ] ⟹  { [ ΣP_U + P_ori ( t1 ) ] ≡ ΣP_U ( t1 ) < [ΣP_U ( t1 ) + P_ori ( t2 ) ] ≡ ΣP_U ( t2 ) < [ ΣP_U ( t2 ) + P_ori ( t3 ) ] ≡ ΣP_U ( t3 ) < [ ΣP_U ( t3 ) + P_ori ( t4 ) ]... } ⟹ ΣP_U ( n )","AX_01"
"AX_06","완전한 상태 중복의 실재 불가","Non-reality of Absolute State Overlap","ꟿ","완전한_정지(Absolute Stasis)는 실재_불가(Non-reality)하므로ꓹ 간극(Delta)은 소거될 수 없고 영속(Perpetuity)되며ꓹ 이에 따라 세상(Universe) 전체의 압력(Pressure)(체류_압력(Retention Pressure))은 영속(Perpetuity) 증가(Increase)한다ꓹ 그러므로 세상(Universe) 전체의 총 상태 값은 과거의 어떤 시점과도 완전히(Absolutely) 동일할 수 없고ꓹ 일어나는 모든 현상(Phenomenon)들은 동적_무한(Dynamic Boundlessness)으로 나가가는 경험(Experience)한 적 없는 새로운 사건이다","ꟿ ≡ { ΣP_U ( n ) iꓹj [ i ≠ jꓹ ΣP_U ( n )_i ≠ ΣP_U ( n )_j ] }","AX_05"
"AX_07","정적 무한의 실재 불가","Non-reality of Fixed Infinity","0∞ = ∄","정적_무한(Fixed Infinity)이 실재(Reality)하기 위해서는ꓹ ′dt = 0(정지)′으로 무한_밀도(Infinite Density)(ρ∞)의 무한_압력(Infinite Pressure)(P∞) 일어나야한다ꓹ 그런데 ′dt = 0′은 정지를 의미하고 무한_밀도(Infinite Density)(ρ∞)의 무한_압력(Infinite Pressure)(P∞)은 무한 작용(Action)(비정지)를 의미하므로 이는 모순되고 실재_불가(Non-reality)하다ꓹ 뿐만 아니라 정적_무한(Fixed Infinity)이라는 개념 자체가ꓹ 무한(Infinity)이라는 완결_불가(Uncompletability)에 따른 시간적 정지와 무한한 작용(Action)의 비정지를 동시에 주장하는 것으로 모순되고 실재_불가(Non-reality)하다","( 0∞ = 0 = ∄ ) ∧ {  δ = [ (V_0∞ * ρ_0∞) = P_0∞ ] = 0 = ∄ }","AX_04"
"02. 기저 물리량 및 원천 동치 (Fundamental Equivalence)",,,,,,
