"4.2. Time — Unit-Volume Shift Time (t_vol) and Delta Time (t_δ)",,,
"Unit-Volume Shift Time ≡ Reference Pressure (P_ref) ≡ 1 t_vol",,,
"[Delta Time (t_δ) ≡ Total Action Pressure / Reference Pressure (P_ref)] ≡ Retention Time",,,
"Example 1","Pressure","Volume","Density"
"Pressure A-1",20,2,10
"Pressure A-2",100,10,10
"Reference Pressure",4,2,2
"Reference Pressure 1 (P_ref 1)","In a layer formed by Pressures A-1, when 3 Actions occur and flow out","In a layer formed by Pressures A-2, when 3 Actions occur and flow out","In a layer formed by Reference Pressures, when 3 Actions occur and flow out"
"Retention Time of Pressure A-1 is ",3.0000 t_δ,15.0000 t_δ,0.6000 t_δ
"Retention Time of Pressure A-2 is",0.6000 t_δ,3.0000 t_δ,0.1200 t_δ
"Retention Time of Reference Pressure is",15.0000 t_δ,75.0000 t_δ,3.0000 t_δ
"Example 2","Pressure","Volume","Density"
"Pressure B-1",20,2,10
"Pressure B-2",396,12,33
"Reference Pressure",4,2,2
"Reference Pressure 1 (P_ref 1)","In a layer formed by Pressures B-1, when 3 Actions occur and flow out","In a layer formed by Pressures B-2, when 3 Actions occur and flow out","In a layer formed by Reference Pressures, when 3 Actions occur and flow out"
"Retention Time of Pressure B-1 is ",3.0000 t_δ,59.4000 t_δ,0.6000 t_δ
"Retention Time of Pressure B-2 is",0.1515 t_δ,3.0000 t_δ,0.0303 t_δ
"Retention Time of Reference Pressure is",15.0000 t_δ,297.0000 t_δ,3.0000 t_δ
"Example 3","Pressure","Volume","Density"
"Pressure C-1",90,2,45
"Pressure C-2",396,12,33
"Reference Pressure",4,2,2
"Reference Pressure 1 (P_ref 1)","In a layer formed by Pressures C-1, when 3 Actions occur and flow out","In a layer formed by Pressures C-2, when 3 Actions occur and flow out","In a layer formed by Reference Pressures, when 3 Actions occur and flow out"
"Retention Time of Pressure C-1 is ",3.0000 t_δ,13.2000 t_δ,0.1333 t_δ
"Retention Time of Pressure C-2 is",0.6818 t_δ,3.0000 t_δ,0.0303 t_δ
"Retention Time of Reference Pressure is",67.5000 t_δ,297.0000 t_δ,3.0000 t_δ
