"5.1. Observed Velocity (v_obs)",,,,
"Observed Velocity (v_obs) ≡ Density (ρ) of Reference Pressure 2 (P_ref 2) - [Density (ρ) of Reference Pressure 1 (P_ref 1) - Density (ρ) of Target]",,,,
"Example 1",,"Pressure","Volume","Density"
,"Pressure A-1",20,2,10
,"Pressure A-2",100,10,10
,"Reference Pressure",4,2,2
"Reference Pressure 2 (P_ref 2)","Reference Pressure 1 (P_ref 1)","In a layer formed by Pressures A-1","In a layer formed by Pressures A-2","In a layer formed by Reference Pressures"
"Pressure A-1","Observed Velocity of Pressure A-1 is",10.0000 v_obs,10.0000 v_obs,2.0000 v_obs
,"Observed Velocity of Pressure A-2 is",10.0000 v_obs,10.0000 v_obs,2.0000 v_obs
,"Observed Velocity of Reference Pressure is",18.0000 v_obs,18.0000 v_obs,10.0000 v_obs
"Pressure A-2","Observed Velocity of Pressure A-1 is",10.0000 v_obs,10.0000 v_obs,2.0000 v_obs
,"Observed Velocity of Pressure A-2 is",10.0000 v_obs,10.0000 v_obs,2.0000 v_obs
,"Observed Velocity of Reference Pressure is",18.0000 v_obs,18.0000 v_obs,10.0000 v_obs
"Reference Pressure","Observed Velocity of Pressure A-1 is",2.0000 v_obs,2.0000 v_obs,-6.0000 v_obs
,"Observed Velocity of Pressure A-2 is",2.0000 v_obs,2.0000 v_obs,-6.0000 v_obs
,"Observed Velocity of Reference Pressure is",10.0000 v_obs,10.0000 v_obs,2.0000 v_obs
"Example 2",,"Pressure","Volume","Density"
,"Pressure B-1",20,2,10
,"Pressure B-2",396,12,33
,"Reference Pressure",4,2,2
"Reference Pressure 2 (P_ref 2)","Reference Pressure 1 (P_ref 1)","In a layer formed by Pressures B-1","In a layer formed by Pressures B-2","In a layer formed by Reference Pressures"
"Pressure B-1","Observed Velocity of Pressure B-1 is",10.0000 v_obs,33.0000 v_obs,2.0000 v_obs
,"Observed Velocity of Pressure B-2 is",-13.0000 v_obs,10.0000 v_obs,-21.0000 v_obs
,"Observed Velocity of Reference Pressure is",18.0000 v_obs,41.0000 v_obs,10.0000 v_obs
"Pressure B-2","Observed Velocity of Pressure B-1 is",33.0000 v_obs,56.0000 v_obs,25.0000 v_obs
,"Observed Velocity of Pressure B-2 is",10.0000 v_obs,33.0000 v_obs,2.0000 v_obs
,"Observed Velocity of Reference Pressure is",41.0000 v_obs,64.0000 v_obs,33.0000 v_obs
"Reference Pressure","Observed Velocity of Pressure B-1 is",2.0000 v_obs,25.0000 v_obs,-6.0000 v_obs
,"Observed Velocity of Pressure B-2 is",-21.0000 v_obs,2.0000 v_obs,-29.0000 v_obs
,"Observed Velocity of Reference Pressure is",10.0000 v_obs,33.0000 v_obs,2.0000 v_obs
"Example 3",,"Pressure","Volume","Density"
,"Pressure C-1",90,2,45
,"Pressure C-2",396,12,33
,"Reference Pressure",4,2,2
"Reference Pressure 2 (P_ref 2)","Reference Pressure 1 (P_ref 1)","In a layer formed by Pressures C-1","In a layer formed by Pressures C-2","In a layer formed by Reference Pressures"
"Pressure C-1","Observed Velocity of Pressure C-1 is",45.0000 v_obs,33.0000 v_obs,2.0000 v_obs
,"Observed Velocity of Pressure C-2 is",57.0000 v_obs,45.0000 v_obs,14.0000 v_obs
,"Observed Velocity of Reference Pressure is",88.0000 v_obs,76.0000 v_obs,45.0000 v_obs
"Pressure C-2","Observed Velocity of Pressure C-1 is",33.0000 v_obs,21.0000 v_obs,-10.0000 v_obs
,"Observed Velocity of Pressure C-2 is",45.0000 v_obs,33.0000 v_obs,2.0000 v_obs
,"Observed Velocity of Reference Pressure is",76.0000 v_obs,64.0000 v_obs,33.0000 v_obs
"Reference Pressure","Observed Velocity of Pressure C-1 is",2.0000 v_obs,-10.0000 v_obs,-41.0000 v_obs
,"Observed Velocity of Pressure C-2 is",14.0000 v_obs,2.0000 v_obs,-29.0000 v_obs
,"Observed Velocity of Reference Pressure is",45.0000 v_obs,33.0000 v_obs,2.0000 v_obs
