"5.2. Observed Time (t_obs)",,,,
"Observed Time (t_obs) ≡ Delta Time (t_δ) / [Density (ρ) of Reference Pressure 1 (P_ref 1) / Density (ρ) of Reference Pressure 2 (P_ref 2)]",,,,
"Example 1",,"Pressure","Volume","Density"
,"Pressure A-1",20,2,10
,"Pressure A-2",100,10,10
,"Reference Pressure",4,2,2
"Reference Pressure 2 (P_ref 2)","Reference Pressure 1 (P_ref 1)","In a layer formed by Pressures A-1 when 3 Actions occur and flow out","In a layer formed by Pressures A-2 when 3 Actions occur and flow out","In a layer formed by Reference Pressures when 3 Actions occur and flow out"
"Pressure A-1","Observed Time of Pressure A-1 is",3.0000 t_obs,15.0000 t_obs,0.6000 t_obs
,"Observed Time of Pressure A-2 is",0.6000 t_obs,3.0000 t_obs,0.1200 t_obs
,"Observed Time of Reference Pressure is",75.0000 t_obs,375.0000 t_obs,15.0000 t_obs
"Pressure A-2","Observed Time of Pressure A-1 is",3.0000 t_obs,15.0000 t_obs,0.6000 t_obs
,"Observed Time of Pressure A-2 is",0.6000 t_obs,3.0000 t_obs,0.1200 t_obs
,"Observed Time of Reference Pressure is",75.0000 t_obs,375.0000 t_obs,15.0000 t_obs
"Reference Pressure","Observed Time of Pressure A-1 is",0.6000 t_obs,3.0000 t_obs,0.1200 t_obs
,"Observed Time of Pressure A-2 is",0.1200 t_obs,0.6000 t_obs,0.0240 t_obs
,"Observed Time of Reference Pressure is",15.0000 t_obs,75.0000 t_obs,3.0000 t_obs
"Example 2",,"Pressure","Volume","Density"
,"Pressure B-1",20,2,10
,"Pressure B-2",396,12,33
,"Reference Pressure",4,2,2
"Reference Pressure 2 (P_ref 2)","Reference Pressure 1 (P_ref 1)","In a layer formed by Pressures B-1 when 3 Actions occur and flow out","In a layer formed by Pressures B-2 when 3 Actions occur and flow out","In a layer formed by Reference Pressures when 3 Actions occur and flow out"
"Pressure B-1","Observed Time of Pressure B-1 is",3.0000 t_obs,59.4000 t_obs,0.6000 t_obs
,"Observed Time of Pressure B-2 is",0.0459 t_obs,0.9091 t_obs,0.0092 t_obs
,"Observed Time of Reference Pressure is",75.0000 t_obs,"1,485.0000 t_obs",15.0000 t_obs
"Pressure B-2","Observed Time of Pressure B-1 is",9.9000 t_obs,196.0200 t_obs,1.9800 t_obs
,"Observed Time of Pressure B-2 is",0.1515 t_obs,3.0000 t_obs,0.0303 t_obs
,"Observed Time of Reference Pressure is",247.5000 t_obs,"4,900.5000 t_obs",49.5000 t_obs
"Reference Pressure","Observed Time of Pressure B-1 is",0.6000 t_obs,11.8800 t_obs,0.1200 t_obs
,"Observed Time of Pressure B-2 is",0.0092 t_obs,0.1818 t_obs,0.0018 t_obs
,"Observed Time of Reference Pressure is",15.0000 t_obs,297.0000 t_obs,3.0000 t_obs
"Example 3",,"Pressure","Volume","Density"
,"Pressure C-1",90,2,45
,"Pressure C-2",396,12,33
,"Reference Pressure",4,2,2
"Reference Pressure 2 (P_ref 2)","Reference Pressure 1 (P_ref 1)","In a layer formed by Pressures C-1 when 3 Actions occur and flow out","In a layer formed by Pressures C-2 when 3 Actions occur and flow out","In a layer formed by Reference Pressures when 3 Actions occur and flow out"
"Pressure C-1","Observed Time of Pressure C-1 is",3.0000 t_obs,13.2000 t_obs,0.1333 t_obs
,"Observed Time of Pressure C-2 is",0.9298 t_obs,4.0909 t_obs,0.0413 t_obs
,"Observed Time of Reference Pressure is","1,518.7500 t_obs","6,682.5000 t_obs",67.5000 t_obs
"Pressure C-2","Observed Time of Pressure C-1 is",2.2000 t_obs,9.6800 t_obs,0.0978 t_obs
,"Observed Time of Pressure C-2 is",0.6818 t_obs,3.0000 t_obs,0.0303 t_obs
,"Observed Time of Reference Pressure is","1,113.7500 t_obs","4,900.5000 t_obs",49.5000 t_obs
"Reference Pressure","Observed Time of Pressure C-1 is",0.1333 t_obs,0.5867 t_obs,0.0059 t_obs
,"Observed Time of Pressure C-2 is",0.0413 t_obs,0.1818 t_obs,0.0018 t_obs
,"Observed Time of Reference Pressure is",67.5000 t_obs,297.0000 t_obs,3.0000 t_obs
